source_file,PM1.0,PM2.5,PM10,Humidity,Temperature,latitude,longitude
Akademicheskaya_dvor.CSV,13.0,16.0,17.0,37.697272727272725,28.7,55.687147,37.578238
Akademicheskaya_magistal.CSV,12.772113282056509,16.665725983255427,17.71275275864494,42.29636363636364,30.04090909090909,55.68527,37.571208
Akademicheskaya_park.CSV,12.0,14.0,15.0,35.93611111111111,32.654444444444444,55.692126,37.569751
Akademicheskaya_station.CSV,14.0,17.69751514637929,18.68071043228925,41.162727272727274,28.61909090909091,55.680032,37.58385
Cheremushki_dvor.CSV,12.637653794309594,16.51701260579819,18.005379826623333,48.196,27.485000000000003,55.660617,37.5673
Cheremushki_magistral.CSV,12.789172838957587,15.740520417178569,16.72430294325223,41.28333333333333,28.686666666666667,55.660373,37.560804
Cheremushki_park.CSV,12.727837608326235,15.665030902555367,17.608409015938562,44.01363636363636,27.434545454545454,55.660021,37.556267
Gagarinskiy_dvor.CSV,10.767342454637625,13.562436374236867,14.258851467428572,44.525999999999996,30.461000000000002,55.692895,37.546213
Gagarinskiy_magistral.CSV,11.0,14.0,15.0,41.17914285714286,33.10028571428571,55.703604,37.573724
Gagarinskiy_park.CSV,11.455005711576428,15.0,16.0,39.019411764705886,31.900000000000006,55.702834,37.556855
Konkovo_dvor.CSV,13.585072472561732,17.521593256230005,19.468436951366673,49.20478260869565,25.131304347826084,55.653024,37.520745
Konkovo_magistral.CSV,12.65848002215293,17.527126184519442,18.500855416992742,48.464444444444446,25.236666666666665,55.651194,37.534587
Konkovo_park.CSV,14.377841787484773,18.20295616924923,19.233152005781044,54.58555555555555,24.555555555555557,55.641384,37.516494
Konkovo_station.CSV,15.527292489982791,23.23658247044126,27.1093462155148,49.558888888888895,26.49833333333333,55.649728,37.536931
Kotlovka_dvor.CSV,12.569285660000844,16.436758170770332,18.37049442615508,47.29636363636364,28.19727272727273,55.678995,37.598741
Kotlovka_magistral.CSV,12.719594796950343,15.654885903938885,16.63597010510692,44.095454545454544,27.770000000000003,55.677883,37.602037
Kotlovka_park.CSV,14.604970607494066,18.49962943615915,19.473294143325422,47.27363636363636,26.895454545454548,55.669676,37.596294
Lomonosovskiy_dvor.CSV,12.775657812330365,14.74114362961196,15.723886538252758,40.589333333333336,30.07133333333333,55.681823,37.54301
Lomonosovskiy_magistral.CSV,11.0,14.0,15.0,35.53636363636364,29.664545454545454,55.683273,37.537094
Lomonosovskiy_park.CSV,11.711650049387096,14.598153471598685,15.470486281299678,47.279411764705884,30.76529411764706,55.684228,37.530345
NButovo_dvor.CSV,18.503376243748775,25.001951309840436,28.711532986127605,68.61821428571429,20.578928571428573,55.572064,37.569188
NButovo_magistral.CSV,19.679224113455167,27.149732154170174,30.916343651293175,64.8565,21.02225,55.569004,37.576292
NButovo_park.CSV,15.735571587261857,21.27818683588404,23.172054702745196,68.46729729729729,20.66756756756757,55.561981,37.565758
Obruchevskiy_dvor.CSV,13.638939923985717,16.595634847127013,18.45810222527498,46.64484848484848,26.02939393939394,55.662574,37.513962
Obruchevskiy_magistral.CSV,13.768112423451207,17.0,18.68529543182664,40.99181818181818,30.83909090909091,55.658074,37.519931
Obruchevskiy_park.CSV,14.353809526985783,19.10293945200078,20.08332784930378,56.29777777777778,25.327777777777776,55.656181,37.508796
SButovo_dvor.CSV,18.54241763458087,25.045919544364967,29.551824273268558,67.67148936170213,20.296808510638296,55.548915,37.545038
SButovo_magistral.CSV,21.352776334448116,29.697807169982823,34.36157133167822,67.37205882352941,20.449117647058824,55.543107,37.549315
SButovo_park.CSV,21.121273533033058,29.38611969813295,34.96438601511622,70.99172413793104,19.68448275862069,55.540242,37.527855
Tepliy_dvor.CSV,14.33358130649793,19.129169595297938,22.003325071515754,57.30722222222222,23.967222222222222,55.629923,37.511689
Tepliy_magistral.CSV,15.379644475067707,22.077210744553224,24.92659330301699,54.99774193548387,22.594193548387096,55.617753,37.502494
Tepliy_park.CSV,14.231316743513553,19.924098671726753,21.821352340054116,59.977,22.019,55.63063,37.49633
Yasenevo_dvor.CSV,17.061748705528572,22.748998274038094,25.59262305829285,60.33954545454546,21.24409090909091,55.606637,37.526421
Yasenevo_magistral.CSV,16.28831997315271,22.03019332755305,24.897503770547836,55.891999999999996,22.891199999999998,55.604983,37.539005
Yasenevo_park.CSV,15.208160540929033,20.011457498406045,23.733087775758804,59.15083333333333,21.34375,55.617114,37.522163
Zuzino_dvor.CSV,13.665924345609515,15.636911210544543,16.622084965834702,45.665,26.578333333333333,55.655532,37.591305
Zuzino_magistral.CSV,11.783304850004667,15.72506868592064,16.715760037084888,41.53818181818182,29.86818181818182,55.651856,37.592599
Zuzino_park.CSV,11.653454497716902,14.569635086620407,15.614557574594043,48.1178947368421,28.26473684210526,55.650246,37.585329
