PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
15,20,20,22.95,58.08,6
16,21,21,22.90,56.87,9
16,21,22,22.86,57.59,12
16,21,23,22.84,56.34,15
16,22,24,22.83,55.83,18
16,22,25,22.82,56.40,21
16,23,25,22.83,55.93,24
16,23,25,22.82,55.55,27
16,23,25,22.81,56.57,30
16,23,26,22.79,56.50,33
16,23,26,22.79,55.64,36
16,23,26,22.78,54.94,39
16,23,26,22.78,54.62,42
16,23,26,22.77,54.80,45
16,23,25,22.76,54.73,48
16,22,25,22.75,54.44,51
16,22,24,22.72,54.28,54
16,22,24,22.71,54.14,57
17,23,26,22.69,54.05,60
18,24,27,22.65,54.01,63
18,25,28,22.63,53.99,66
18,25,28,22.61,54.13,69
18,25,28,22.59,54.64,72
17,25,29,22.58,55.11,75
17,24,28,22.53,54.89,77
17,23,26,22.51,54.64,80
17,23,26,22.48,54.43,83
17,23,26,22.43,54.64,86
17,23,26,22.42,55.09,89
17,23,26,22.39,55.27,92
17,23,25,22.35,54.99,95
16,22,25,22.31,55.16,98
16,22,24,22.32,55.22,101
16,22,24,22.29,55.22,104
16,21,24,22.28,55.40,107
16,21,23,22.23,55.51,110
